['261319', '2020-01-07', 'terça-feira', '08:40:00', 'TO', '153', '150', 'ARAGUAINA', 'Defeito Mecânico no Veículo', 'Tombamento', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Céu Claro', 'Simples', 'Reta', 'Não', '2', '0', '2', '0', '0', '0', '2', '1', '-7.24812605', '-48.25533885', 'SR-TO', 'UOP04/TO', '\n']
['261333', '2020-01-07', 'terça-feira', '09:00:00', 'RO', '319', '62.1', 'PORTO VELHO', 'Desobediência às normas de trânsito pelo condutor', 'Colisão transversal', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Céu Claro', 'Dupla', 'Reta', 'Sim', '4', '0', '0', '1', '2', '1', '1', '3', '-8.75044711', '-63.88803005', 'SR-RO', 'DEL21/1', 'UOP01/RO\n']
['261379', '2020-01-07', 'terça-feira', '14:20:00', 'RO', '364', '381.1', 'OURO PRETO DO OESTE', 'Não guardar distância de segurança', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Sol', 'Simples', 'Curva', 'Não', '1', '0', '1', '0', '0', '0', '1', '1', '-10.73029115', '-62.22943647', 'SR-RO', 'DEL21/2', 'UOP01/RO\n']
['261394', '2020-01-07', 'terça-feira', '17:40:00', 'TO', '153', '249.2', 'COLINAS DO TOCANTINS', 'Velocidade Incompatível', 'Tombamento', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Céu Claro', 'Múltipla', 'Curva', 'Sim', '2', '0', '1', '0', '1', '0', '1', '1', '-8.07095104', '-48.46698244', 'SR-TO', 'UOP03/TO', '\n']
['261409', '2020-01-08', 'quarta-feira', '00:15:00', 'TO', '153', '334.2', 'GUARAI', 'Falta de Atenção à Condução', 'Atropelamento de Pedestre', 'Com Vítimas Feridas', 'Plena Noite', 'Crescente', 'Nublado', 'Simples', 'Reta', 'Sim', '2', '0', '1', '0', '1', '0', '1', '1', '-8.837718', '-48.51170897', 'SR-TO', 'UOP03/TO', '\n']
['261415', '2020-01-07', 'terça-feira', '18:30:00', 'RO', '364', '396', 'OURO PRETO DO OESTE', 'Defeito Mecânico no Veículo', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Anoitecer', 'Crescente', 'Nublado', 'Simples', 'Desvio Temporário', 'Não', '1', '0', '1', '0', '0', '0', '1', '1', '-10.63143201', '-62.32007001', 'SR-RO', 'DEL21/3', 'UOP02/RO\n']
['261434', '2020-01-08', 'quarta-feira', '03:00:00', 'TO', '153', '550', 'NOVA ROSALANDIA', 'Ingestão de Álcool', 'Colisão traseira', 'Com Vítimas Feridas', 'Plena Noite', 'Crescente', 'Nublado', 'Simples', 'Reta', 'Não', '4', '0', '1', '2', '0', '1', '3', '2', '-10.6540262', '-48.90913103', 'SR-TO', 'UOP02/TO', '\n']
['261480', '2020-01-08', 'quarta-feira', '09:00:00', 'RO', '429', '42', 'PRESIDENTE MEDICI', 'Desobediência às normas de trânsito pelo condutor', 'Colisão traseira', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Céu Claro', 'Simples', 'Curva', 'Não', '2', '0', '0', '1', '1', '0', '1', '2', '-11.19945896', '-61.910614', 'SR-RO', 'DEL21/2', 'UOP03/RO\n']
['261481', '2020-01-08', 'quarta-feira', '08:40:00', 'RO', '364', '185.7', 'PIMENTA BUENO', 'Ingestão de Álcool', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Sol', 'Simples', 'Curva', 'Não', '2', '0', '0', '1', '0', '1', '1', '1', '-11.745548', '-61.110068', 'SR-RO', 'DEL21/2', 'UOP02/RO\n']
['261482', '2020-01-08', 'quarta-feira', '09:00:00', 'RO', '319', '63', 'PORTO VELHO', 'Desobediência às normas de trânsito pelo condutor', 'Colisão transversal', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Céu Claro', 'Dupla', 'Não Informado', 'Sim', '3', '0', '1', '0', '2', '0', '1', '2', '-8.766685', '-63.884052', 'SR-RO', 'DEL21/1', 'UOP01/RO\n']
['261510', '2020-01-08', 'quarta-feira', '11:40:00', 'RR', '174', '546', 'BOA VISTA', 'Defeito Mecânico no Veículo', 'Incêndio', 'Sem Vítimas', 'Pleno dia', 'Decrescente', 'Céu Claro', 'Simples', 'Reta', 'Não', '2', '0', '0', '0', '2', '0', '0', '1', '3.140153', '-60.832764', 'SR-RR', 'UOP01/RR', '\n']
['261570', '2020-01-08', 'quarta-feira', '16:40:00', 'PA', '222', '25', 'DOM ELISEU', 'Condutor Dormindo', 'Colisão com objeto estático', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Céu Claro', 'Simples', 'Não Informado', 'Não', '1', '0', '1', '0', '0', '0', '1', '1', '-4.311721', '-47.617702', 'SR-PA', 'DEL19/2', 'UOP03/PA\n']
['261601', '2020-01-08', 'quarta-feira', '18:00:00', 'TO', '153', '383.6', 'RIO DOS BOIS', 'Avarias e/ou desgaste excessivo no pneu', 'Tombamento', 'Com Vítimas Feridas', 'Anoitecer', 'Crescente', 'Sol', 'Simples', 'Curva', 'Não', '1', '0', '1', '0', '0', '0', '1', '1', '-9.26983115', '-48.54848155', 'SR-TO', 'UOP03/TO', '\n']
